asset_id,section_role,recommendation,local_path,source,source_page_or_search,download_url,creator_or_vendor,license_url,license_status,ai_or_enhancement_status,approval_state,authenticity,swiss_parent_fit,learning_relevance,crop_flexibility,diversity_age_fit,brand_fit,risk_level,notes
PEX-8121121,Hero,primary_candidate,img/home-v2/candidates/pexels/hero-family-study-table-pexels-8121121.jpg,Pexels,https://www.pexels.com/search/family%20homework/,https://images.pexels.com/photos/8121121/pexels-photo-8121121.jpeg?cs=srgb&dl=pexels-mikhail-nilov-8121121.jpg&fm=jpg,Mikhail Nilov,https://www.pexels.com/license/,free_usable_with_pexels_restrictions,none_known,downloaded_candidate,4,4,5,5,4,4,4,"Best current free Hero candidate; real family-learning scene with European enough context; still not final Swiss-private-school perfect."
PEX-4022327,Learning Thread,backup_candidate,img/home-v2/candidates/pexels/learning-thread-worksheets-pexels-4022327.jpg,Pexels,https://www.pexels.com/search/family%20homework/,https://images.pexels.com/photos/4022327/pexels-photo-4022327.jpeg?cs=srgb&dl=pexels-thepaintedsquare-4022327.jpg&fm=jpg,The Painted Square,https://www.pexels.com/license/,free_usable_with_pexels_restrictions,none_known,downloaded_candidate,4,3,5,5,4,3,4,"Strong worksheet/stuck-question evidence; more North American home-school feeling than Swiss premium."
PEX-9872951,Teacher Support,deferred_secondary,img/home-v2/candidates/pexels/teacher-support-study-pexels-9872951.jpg,Pexels,https://www.pexels.com/search/family%20homework/,https://images.pexels.com/photos/9872951/pexels-photo-9872951.jpeg?cs=srgb&dl=pexels-ron-lach-9872951.jpg&fm=jpg,Ron Lach,https://www.pexels.com/license/,free_usable_with_pexels_restrictions,none_known,deferred_secondary_candidate,4,2,5,4,5,3,4,"Good tutor-support metaphor, but not Swiss-market homepage lead imagery; avoid implying guaranteed one-on-one support."
UNS-1549227082,Hero,seasonal_backup_candidate,img/home-v2/candidates/unsplash/hero-family-reading-unsplash-1549227082.jpg,Unsplash,https://unsplash.com/photos/girl-and-boy-reading-book-sitting-between-man-and-woman-beside-Christmas-tree-c_rnPbSYVFM,https://images.unsplash.com/photo-1549227082-0ea18ce30397?fm=jpg&q=85&w=2400&auto=format&fit=crop,Ann Danilina,https://unsplash.com/license,free_usable_with_unsplash_restrictions,none_known,downloaded_candidate,4,4,4,4,4,3,4,"European family reading scene; Christmas setting makes it seasonal, so do not use as evergreen Hero without approval."
UNS-1585432959445,Learning Thread,backup_candidate,img/home-v2/candidates/unsplash/parent-child-table-unsplash-1585432959445.jpg,Unsplash,https://unsplash.com/photos/mother-and-daughter-studying-together-at-a-table-wGzmUZMW2rE,https://images.unsplash.com/photo-1585432959445-662c9bbcd91d?fm=jpg&q=85&w=2400&auto=format&fit=crop,Vitaly Gariev,https://unsplash.com/license,free_usable_with_unsplash_restrictions,none_known,downloaded_candidate,4,3,5,4,3,3,4,"Parent/child table learning scene; better Swiss-market fit than removed set, but visual tone is ordinary."
UNS-1758687126234,Parent Confidence,backup_candidate,img/home-v2/candidates/unsplash/father-son-laptop-unsplash-1758687126234.jpg,Unsplash,https://unsplash.com/photos/father-and-son-looking-at-laptop-together-5nLbXYbx7Bw,https://images.unsplash.com/photo-1758687126234-89901f426283?fm=jpg&q=85&w=2400&auto=format&fit=crop,Vitaly Gariev,https://unsplash.com/license,free_usable_with_unsplash_restrictions,none_known,downloaded_candidate,3,4,4,4,3,3,4,"Stronger European parent/child fit; warm orange commercial styling needs color restraint before use."
UNS-1434030216411,Learning Thread,primary_detail_candidate,img/home-v2/candidates/unsplash/student-study-desk-unsplash-1434030216411.jpg,Unsplash,https://unsplash.com/photos/person-writing-on-paper-near-laptop-computer-SyYmXSDnJ54,https://images.unsplash.com/photo-1434030216411-0b793f4b4173?fm=jpg&q=85&w=2400&auto=format&fit=crop,Green Chameleon,https://unsplash.com/license,free_usable_with_unsplash_restrictions,none_known,downloaded_candidate,4,5,5,5,4,4,5,"Best face-light study detail; avoids demographic mismatch and supports premium editorial proof surfaces."
UNS-1585432959322,Learning Thread,backup_detail_candidate,img/home-v2/candidates/unsplash/study-desk-writing-unsplash-1585432959322.jpg,Unsplash,https://unsplash.com/photos/person-writing-on-white-paper-SrJuOjX2qso,https://images.unsplash.com/photo-1585432959322-4db03962b004?fm=jpg&q=85&w=2400&auto=format&fit=crop,Jessica Lewis / thepaintedsquare,https://unsplash.com/license,free_usable_with_unsplash_restrictions,none_known,downloaded_candidate,4,3,5,5,4,3,4,"Good close study moment; visible worksheet language may read US-school rather than Swiss/international."
UNS-1488190211105,Final CTA,detail_candidate,img/home-v2/candidates/unsplash/study-desk-minimal-unsplash-1488190211105.jpg,Unsplash,https://unsplash.com/photos/person-holding-ballpoint-pen-writing-on-notebook-505eectW54k,https://images.unsplash.com/photo-1488190211105-8b0e65b80b4e?fm=jpg&q=85&w=2400&auto=format&fit=crop,Thought Catalog,https://unsplash.com/license,free_usable_with_unsplash_restrictions,none_known,downloaded_candidate,4,4,4,5,4,4,5,"Neutral study detail with no face mismatch; useful for CTA or trust/proof surfaces."
UNS-1559754417,Swiss Trust Layer,place_signal_candidate,img/home-v2/candidates/unsplash/swiss-education-environment-unsplash-1559754417.jpg,Unsplash,https://unsplash.com/s/photos/switzerland-school,https://images.unsplash.com/photo-1559754417-c1304ca2f80f?fm=jpg&q=85&w=2400&auto=format&fit=crop,Unsplash search metadata pending exact attribution,https://unsplash.com/license,free_usable_with_unsplash_restrictions,none_known,downloaded_candidate,4,5,2,5,3,4,5,"Swiss place cue only; pair with learning image and confirm exact creator/source page before final public use."
PEX-8055080,Removed,removed_due_market_mismatch,img/home-v2/candidates/pexels/parent-homework-living-room-pexels-8055080.jpg,Pexels,https://www.pexels.com/search/family%20homework/,https://images.pexels.com/photos/8055080/pexels-photo-8055080.jpeg?cs=srgb&dl=pexels-annushka-ahuja-8055080.jpg&fm=jpg,Annushka Ahuja,https://www.pexels.com/license/,free_usable_with_pexels_restrictions,none_known,removed_from_local_candidates,4,1,5,4,4,2,4,"Removed after Swiss-market review: valid learning scene, but family/context is not appropriate as a Swiss-first homepage signal."
PEX-8054838,Removed,removed_due_market_mismatch,img/home-v2/candidates/pexels/learning-thread-close-study-pexels-8054838.jpg,Pexels,https://www.pexels.com/search/family%20homework/,https://images.pexels.com/photos/8054838/pexels-photo-8054838.jpeg?cs=srgb&dl=pexels-annushka-ahuja-8054838.jpg&fm=jpg,Annushka Ahuja,https://www.pexels.com/license/,free_usable_with_pexels_restrictions,none_known,removed_from_local_candidates,4,1,5,5,4,2,4,"Removed after Swiss-market review because it belongs to the same mismatch visual set."
PEX-8055125,Removed,removed_due_market_mismatch,img/home-v2/candidates/pexels/parent-confidence-kitchen-pexels-8055125.jpg,Pexels,https://www.pexels.com/search/family%20homework/,https://images.pexels.com/photos/8055125/pexels-photo-8055125.jpeg?cs=srgb&dl=pexels-annushka-ahuja-8055125.jpg&fm=jpg,Annushka Ahuja,https://www.pexels.com/license/,free_usable_with_pexels_restrictions,none_known,removed_from_local_candidates,4,1,5,4,4,2,4,"Removed after Swiss-market review because it would make the homepage feel aimed at the wrong market."
PEX-9240631,Removed,removed_due_vendor_brand_risk,img/home-v2/candidates/pexels/parent-learning-laptop-pexels-9240631.jpg,Pexels,https://www.pexels.com/search/family%20homework/,https://images.pexels.com/photos/9240631/pexels-photo-9240631.jpeg?cs=srgb&dl=pexels-sofatutor-95841679-9240631.jpg&fm=jpg,sofatutor,https://www.pexels.com/license/,free_usable_with_pexels_restrictions,none_known,removed_from_local_candidates,3,4,5,5,4,3,3,"Removed from local candidates due education-brand/vendor adjacency; keep only as visual reference if needed."
