asset_id,asset_type,section,intended_use,local_or_link,source,source_or_license_url,creator_or_vendor,ai_status,download_commit_decision,preview_suitability,final_suitability,risk_level,notes
PEX-8121121,photography,Hero,current preview hero,img/home-v2/candidates/pexels/hero-family-study-table-pexels-8121121.jpg,Pexels,https://www.pexels.com/license/,Mikhail Nilov,real photography,already_downloaded_candidate,high,medium,medium,"Best current free Hero candidate; still not final Swiss private-education quality."
UNS-1758687126234,photography,Parent Confidence,current preview parent image,img/home-v2/candidates/unsplash/father-son-laptop-unsplash-1758687126234.jpg,Unsplash,https://unsplash.com/license,Vitaly Gariev,real photography,already_downloaded_candidate,medium,low,medium,"Preview-safe but too warm/orange and stock-like for final public Home V2."
UNS-1434030216411,photography,Learning Thread / detail,face-light study detail,img/home-v2/candidates/unsplash/student-study-desk-unsplash-1434030216411.jpg,Unsplash,https://unsplash.com/license,Green Chameleon,real photography,already_downloaded_candidate,high,medium,low,"Strong non-identity study detail; candidate for supporting material if needed."
UNS-1585432959322,photography,Trust,current trust/detail direction,img/home-v2/candidates/unsplash/study-desk-writing-unsplash-1585432959322.jpg,Unsplash,https://unsplash.com/license,Jessica Lewis / The Painted Square,real photography,already_downloaded_candidate,high,medium,low,"Current Trust direction is the strongest visual benchmark; watch visible worksheet/locality cues."
UNS-1488190211105,photography,Final CTA / texture,quiet desk detail,img/home-v2/candidates/unsplash/study-desk-minimal-unsplash-1488190211105.jpg,Unsplash,https://unsplash.com/license,Thought Catalog,real photography,already_downloaded_candidate,medium,medium,low,"Useful quiet detail if CTA needs material support; current CTA may not need it."
AI-TRUST-DETAIL-01,ai_image,Trust,non-face paper/hand/window-light detail,link_only_prompt,AI generated by approved future tool,N/A,STOA generated,ai_generated_non_identifiable,do_not_commit_until_generated_and_reviewed,medium,medium,medium,"Prompt direction: warm Swiss apartment window light, child's hand with pencil over neutral math notes, no face, no readable school branding, editorial shallow depth, understated paper texture."
AI-TEXTURE-01,ai_texture,Global texture,subtle paper/light material,link_only_prompt,AI generated by approved future tool,N/A,STOA generated,ai_generated_abstract,do_not_commit_until_generated_and_reviewed,medium,medium,low,"Prompt direction: warm porcelain paper grain, diffuse morning light, no text, no logos, neutral editorial material texture."
ISTOCK-HERO-SEARCH,paid_search,Hero,final public hero candidate,https://www.istockphoto.com/search/2/image?phrase=swiss%20family%20homework,iStock,https://www.istockphoto.com/legal/license-agreement,iStock,paid_stock,link_only_paid_approval_required,low,high,medium,"Paid search route for final Hero; do not download watermarked previews into repo."
ISTOCK-PARENT-SEARCH,paid_search,Parent Confidence,final parent image candidate,https://www.istockphoto.com/search/2/image?phrase=european%20parent%20child%20homework%20laptop,iStock,https://www.istockphoto.com/legal/license-agreement,iStock,paid_stock,link_only_paid_approval_required,low,high,medium,"Paid search route for calmer parent/progress image."
APPLE-EVENTS-REF,motion_reference,Motion,cinematic chapter rhythm,https://www.apple.com/apple-events/,Apple,https://www.apple.com/apple-events/,Apple,reference_only,link_only_do_not_download,N/A,N/A,low,"Reference for product event chapter pacing and sparse presentation; not an asset source."
APPLE-WWDC25-REF,motion_reference,Motion,design update / keynote rhythm,https://developer.apple.com/videos/wwdc2025/,Apple Developer,https://developer.apple.com/videos/wwdc2025/,Apple,reference_only,link_only_do_not_download,N/A,N/A,low,"Reference for cinematic reveal and design-system storytelling; do not copy visuals."
APPLE-HIG-REF,design_reference,Motion / UI,interface restraint and interaction principles,https://developer.apple.com/design/human-interface-guidelines,Apple Developer,https://developer.apple.com/design/human-interface-guidelines,Apple,reference_only,link_only_do_not_download,N/A,N/A,low,"Reference for restraint and interaction quality; not an asset source."
